Time	Total Time	Instances	Avg	Med	Min	Max	StdDev	Style	Range
0.1%	33.265 ms	504	66.001 μs	64.288 μs	60.981 μs	92.531 μs	5.369 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.3.self_attn.o_proj', 'TrainableParams': {'weight': [2048, 2048]}, 'Inputs': [[100, 2048]]}
0.1%	33.262 ms	504	65.996 μs	64.111 μs	60.732 μs	105.596 μs	5.709 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.11.self_attn.o_proj', 'TrainableParams': {'weight': [2048, 2048]}, 'Inputs': [[100, 2048]]}
0.1%	33.171 ms	504	65.815 μs	64.158 μs	60.590 μs	127.148 μs	5.783 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.9.self_attn.o_proj', 'TrainableParams': {'weight': [2048, 2048]}, 'Inputs': [[100, 2048]]}
0.1%	33.117 ms	504	65.707 μs	64.170 μs	60.313 μs	99.183 μs	5.161 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.10.self_attn.o_proj', 'TrainableParams': {'weight': [2048, 2048]}, 'Inputs': [[100, 2048]]}
0.1%	31.638 ms	505	62.648 μs	61.143 μs	57.864 μs	101.007 μs	5.482 μs	PushPop	:{'Module': 'LlamaForCausalLM.logits_processor', 'Inputs': [[100, 2048]]}
0.1%	31.313 ms	504	62.129 μs	60.384 μs	56.233 μs	87.422 μs	5.420 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.8.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Inputs': [[100, 2048]]}
0.1%	31.291 ms	504	62.085 μs	60.647 μs	56.639 μs	85.487 μs	4.770 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.1.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Inputs': [[100, 2048]]}
0.1%	31.279 ms	504	62.061 μs	60.193 μs	56.325 μs	110.499 μs	6.304 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.2.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Inputs': [[100, 2048]]}
0.1%	31.264 ms	504	62.031 μs	60.288 μs	55.578 μs	86.823 μs	5.206 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.9.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Inputs': [[100, 2048]]}
0.1%	31.236 ms	504	61.977 μs	60.186 μs	55.862 μs	99.458 μs	5.800 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.7.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Inputs': [[100, 2048]]}
0.1%	31.137 ms	504	61.780 μs	59.942 μs	55.983 μs	108.352 μs	5.740 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.5.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Inputs': [[100, 2048]]}
0.1%	31.118 ms	504	61.741 μs	60.011 μs	56.495 μs	88.875 μs	5.094 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.11.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Inputs': [[100, 2048]]}
0.1%	31.059 ms	504	61.624 μs	59.901 μs	56.198 μs	88.728 μs	5.308 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.4.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Inputs': [[100, 2048]]}
0.1%	31.059 ms	504	61.624 μs	59.897 μs	56.399 μs	96.154 μs	5.457 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.10.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Inputs': [[100, 2048]]}
0.1%	31.035 ms	504	61.578 μs	59.918 μs	56.075 μs	89.969 μs	5.168 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.3.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Inputs': [[100, 2048]]}
0.1%	31.017 ms	504	61.542 μs	59.850 μs	55.919 μs	96.925 μs	5.223 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.6.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Inputs': [[100, 2048]]}
0.1%	30.982 ms	504	61.472 μs	59.969 μs	56.016 μs	87.235 μs	5.227 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.12.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Inputs': [[100, 2048]]}
0.1%	30.964 ms	504	61.435 μs	59.674 μs	55.920 μs	102.663 μs	5.612 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.14.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Inputs': [[100, 2048]]}
0.1%	30.853 ms	504	61.215 μs	59.571 μs	56.300 μs	97.138 μs	5.335 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.13.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Inputs': [[100, 2048]]}
0.1%	30.755 ms	504	61.021 μs	59.784 μs	56.124 μs	85.733 μs	4.683 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.15.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Inputs': [[100, 2048]]}
0.1%	29.943 ms	504	59.410 μs	57.754 μs	53.912 μs	100.718 μs	5.414 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.0.mlp.down_proj', 'TrainableParams': {'weight': [2048, 8192]}, 'Inputs': [[100, 8192]]}
0.1%	29.522 ms	504	58.575 μs	56.984 μs	53.046 μs	92.781 μs	5.400 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.1.mlp.down_proj', 'TrainableParams': {'weight': [2048, 8192]}, 'Inputs': [[100, 8192]]}
0.1%	29.479 ms	504	58.491 μs	56.504 μs	52.481 μs	98.653 μs	6.103 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.3.mlp.down_proj', 'TrainableParams': {'weight': [2048, 8192]}, 'Inputs': [[100, 8192]]}
0.1%	29.456 ms	504	58.444 μs	56.686 μs	52.666 μs	86.287 μs	5.434 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.7.mlp.down_proj', 'TrainableParams': {'weight': [2048, 8192]}, 'Inputs': [[100, 8192]]}
0.1%	29.413 ms	504	58.358 μs	56.454 μs	52.634 μs	96.874 μs	5.830 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.2.mlp.down_proj', 'TrainableParams': {'weight': [2048, 8192]}, 'Inputs': [[100, 8192]]}
0.1%	29.382 ms	504	58.298 μs	56.469 μs	52.690 μs	83.922 μs	5.424 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.14.mlp.down_proj', 'TrainableParams': {'weight': [2048, 8192]}, 'Inputs': [[100, 8192]]}
0.1%	29.351 ms	504	58.236 μs	56.543 μs	52.672 μs	87.524 μs	5.606 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.4.mlp.down_proj', 'TrainableParams': {'weight': [2048, 8192]}, 'Inputs': [[100, 8192]]}
0.1%	29.339 ms	504	58.212 μs	56.495 μs	52.946 μs	100.752 μs	5.677 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.8.mlp.down_proj', 'TrainableParams': {'weight': [2048, 8192]}, 'Inputs': [[100, 8192]]}
0.1%	29.335 ms	504	58.204 μs	56.296 μs	52.657 μs	144.368 μs	6.485 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.11.mlp.down_proj', 'TrainableParams': {'weight': [2048, 8192]}, 'Inputs': [[100, 8192]]}
0.1%	29.333 ms	504	58.200 μs	56.413 μs	52.944 μs	85.600 μs	5.339 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.6.mlp.down_proj', 'TrainableParams': {'weight': [2048, 8192]}, 'Inputs': [[100, 8192]]}
